post_id,title,category,score,author,num_comments,engagement,is_popular
47657699,SideX – A Tauri-based port of Visual Studio Code,others,46,0x1997,0,0.0,False
47655408,Show HN: I built a tiny LLM to demystify how language models work,others,355,armanified,0,0.0,True
47652561,Gemma 4 on iPhone,others,584,janandonly,0,0.0,True
47656622,An open-source 240-antenna array to bounce signals off the Moon,others,76,hillcrestenigma,0,0.0,False
47651703,Microsoft hasn't had a coherent GUI strategy since Petzold,others,380,naves,0,0.0,True
47655392,Show HN: I made a YouTube search form with advanced filters,others,204,nevernothing,0,0.0,True
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,67,keepamovin,0,0.0,False
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,53,karimf,0,0.0,False
47637377,LÖVE: 2D Game Framework for Lua,sports,282,cl3misch,0,0.0,True
47637116,"Signals, the push-pull based algorithm",others,26,mpweiher,0,0.0,False
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,61,ikessler,0,0.0,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,others,49,salt4034,0,0.0,False
47652400,Why Switzerland has 25 Gbit internet and America doesn't,others,420,sschueller,0,0.0,True
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,43,zdw,0,0.0,False
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,others,254,vbtechguy,0,0.0,True
47636456,Sheets Spreadsheets in Your Terminal,others,50,_____k,0,0.0,False
47656114,We replaced Node.js with Bun for 5x throughput,others,49,pier25,0,0.0,False
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",others,41,mohshomis,0,0.0,False
47655466,Employers use your personal data to figure out the lowest salary you'll accept,others,179,thisislife2,0,0.0,True
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,others,120,MoltenMonster,0,0.0,False
47652322,Music for Programming,others,168,merusame,0,0.0,True
47655905,Usenet Archives,others,29,myth_drannon,0,0.0,False
47613827,One ant for $220: The new frontier of wildlife trafficking,others,12,gmays,0,0.0,False
47650312,A tail-call interpreter in (nightly) Rust,technology,154,g0xA52A2A,0,0.0,True
47648828,"Eight years of wanting, three months of building with AI",technology,757,brilee,0,0.0,True
47650502,Computational Physics (2nd Edition) (2025),others,135,teleforce,0,0.0,False
47654620,"In Japan, the robot isn't coming for your job; it's filling the one nobody wants",others,160,rbanffy,0,0.0,True
47649721,Artemis II crew see first glimpse of far side of Moon [video],others,471,mooreds,0,0.0,True
47647455,Caveman: Why use many token when few token do trick,others,755,tosh,0,0.0,True
47654171,The Mechanics of Steins Gate (2023) [pdf],others,74,Ariarule,0,0.0,False
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,others,183,desideratum,0,0.0,True
47656335,Does coding with LLMs mean more microservices?,others,12,jer0me,0,0.0,False
47655978,Stamp It: All programs must report their version,others,11,gurjeet,0,0.0,False
47648048,Friendica – A Decentralized Social Network,others,144,janandonly,0,0.0,True
47652442,OpenJDK: Panama,others,51,tosh,0,0.0,False
47649113,Finnish sauna heat exposure induces stronger immune cell than cytokine responses,others,355,Growtika,0,0.0,True
47657652,China fell for a lobster: What an AI assistant tells us about Beijing's ambition,technology,8,tmoravec,0,0.0,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,861,zaikunzhang,0,0.0,True
47612331,Baby's Second Garbage Collector,others,60,matheusmoreira,0,0.0,False
47657198,Scientists found a protein that drives brain aging – and how to stop it,technology,11,mikhael,0,0.0,False
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,147,1vuio0pswjnm7,0,0.0,True
47638043,Rendering arbitrary-scale emojis using the Slug algorithm,others,13,leduyquang753,0,0.0,False
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,37,alvivanco,0,0.0,False
47655721,LLMs can't justify their answers–this CLI forces them to,others,9,volatilityfund,0,0.0,False
47637077,Scientists mapped all the nerves of the clitoris for the first time,others,33,01-_-,0,0.0,False
47653589,Women were never meant to give birth on their backs,others,36,ilt,0,0.0,False
47613272,Tracing Goroutines in Realtime with eBPF,others,74,darccio,0,0.0,False
47607408,Scientists Figured Out How Eels Reproduce (2022),others,116,thunderbong,0,0.0,False
47652324,LibreOffice – Let's put an end to the speculation,others,174,eisa01,0,0.0,True
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,technology,16,hudsongr,0,0.0,False
47651479,From birds to brains: My path to the fusiform face area (2024),technology,35,everbody,0,0.0,False
47640728,Show HN: A game where you build a GPU,sports,909,Jaso1024,0,0.0,True
47649701,Perfmon – Consolidate your favorite CLI monitoring tools into a single TUI,others,48,paperplaneflyr,0,0.0,False
47636765,Endian wars and anti-portability: this again?,technology,44,awilfox,0,0.0,False
47646472,Aegis – open-source FPGA silicon,others,130,rosscomputerguy,0,0.0,False
47654317,My university uses prompt injection to catch cheaters,others,18,varun_ch,0,0.0,False
47656146,"New Copilot for Windows 11 includes a full Microsoft Edge package, uses more RAM",others,26,aaronsung,0,0.0,False
47656874,The Reason VO₂ Max Declines with Age,others,19,dtawfik1,0,0.0,False
47644406,German implementation of eIDAS will require an Apple/Google account to function,others,548,DyslexicAtheist,0,0.0,True
47656695,"Anthropic has a blacklist on the word ""OpenClaw""",others,14,benn67,0,0.0,False
47655480,Make Humans Analog Again,technology,6,muunbo,0,0.0,False
